Record_ID,Task_ID,Device_ID,Server_ID,Task_Type,Device_Class,Mobility_Status,Data_Size_MB,Comp_Demand_Cycles,Bandwidth_Mbps,Latency_ms,CPU_Freq_GHz,Memory_MB,Task_Offloaded,Overload_Flag,Chaos_Flag,Energy_Consumption_J,Timestamp
1112,684,147,7,Health_Monitor,Mid-End,Static,1.51,8771965371,76.05,7.49,4.48,15484,Yes,Yes,No,6.27,2024-06-17 15:10:02
1113,602,241,8,Data_Upload,High-End,Static,1.51,3041209482,66.04,18.39,3.7,21556,Yes,Yes,No,9.41,2024-06-29 23:15:53
1114,1533,286,4,Control_Command,Mid-End,Static,2.92,3698060558,53.6,10.86,4.02,23480,Yes,Yes,No,19.85,2024-01-30 18:07:58
1115,961,91,6,Health_Monitor,Mid-End,Fast,3.17,1843274613,25.89,46.23,4.79,19023,Yes,Yes,Yes,16.49,2024-07-01 19:51:49
1116,1030,228,10,Health_Monitor,Mid-End,Static,3.11,4698496789,82.28,14.13,3.93,27178,Yes,Yes,No,12.57,2024-04-06 23:22:16
1117,507,484,7,Health_Monitor,Mid-End,Static,0.91,2423459227,34.58,11.47,3.17,20646,Yes,Yes,No,4.02,2024-04-09 17:35:00
1118,1823,154,8,Video_Stream,Mid-End,Static,4.45,8227531859,83.84,33.18,3.36,11007,Yes,Yes,No,4.78,2024-03-25 14:47:07
1119,1195,404,3,Data_Upload,Low-End,Slow,1.7,3192330176,65.04,28.49,4.64,30765,Yes,Yes,No,10.2,2024-04-08 16:30:46
1120,875,372,7,Video_Stream,Low-End,Static,1.08,9054877273,43.55,30.92,4.53,27904,Yes,Yes,No,16.76,2024-02-10 02:10:52
1121,268,361,5,Video_Stream,Mid-End,Static,4.5,9147398567,13.65,24.62,4.35,30637,Yes,Yes,No,15.47,2024-03-03 16:00:19
1122,193,251,7,AR_VR_App,High-End,Static,4.8,646958824,30.92,26.02,2.82,8320,Yes,Yes,No,17.45,2024-05-08 17:37:51
1123,756,334,6,Health_Monitor,Mid-End,Static,4.38,6653474291,90.02,40.05,2.99,17207,Yes,Yes,Yes,9.59,2024-05-20 07:25:41
1124,1204,481,5,Video_Stream,High-End,Slow,4.14,3499789150,83.62,14.9,4.26,12845,Yes,Yes,No,12.61,2024-04-19 22:05:16
1125,760,201,3,Data_Upload,High-End,Static,3.45,9185106764,61.74,22.84,3.2,4439,Yes,Yes,No,7.89,2024-02-28 11:22:50
1126,70,215,10,AR_VR_App,Mid-End,Slow,2.98,7921745725,51.97,48.1,4.28,24887,Yes,Yes,Yes,11.92,2024-04-13 12:34:28
1127,1757,173,2,AR_VR_App,Mid-End,Slow,0.89,9655289241,68.24,13.55,4.23,15949,Yes,Yes,No,13.29,2024-05-04 04:45:39
1128,1054,64,3,Control_Command,Mid-End,Static,2.34,8149551407,51.96,18.22,3.97,10774,Yes,Yes,No,11.53,2024-04-26 18:44:59
1129,1143,30,2,Control_Command,Mid-End,Slow,2.18,1231478016,67.99,13.62,4.97,6703,Yes,Yes,No,5.97,2024-06-14 03:51:57
1130,1741,437,3,AR_VR_App,Low-End,Fast,1.67,9571862664,37.67,5.92,4.69,11453,Yes,Yes,No,8.44,2024-04-13 08:48:05
1131,510,178,2,Data_Upload,Mid-End,Static,3.76,8327404929,85.46,17.14,2.8,12423,Yes,Yes,No,13.51,2024-05-21 04:27:39
1132,734,446,1,Video_Stream,High-End,Static,2.73,5807993381,73.17,7.09,4.33,25921,Yes,Yes,No,12.54,2024-03-31 16:22:09
1133,460,170,9,Control_Command,Low-End,Static,0.86,7297271055,39.7,11.96,4.62,24068,Yes,Yes,No,10.35,2024-03-26 05:07:45
1134,1662,156,10,Video_Stream,High-End,Static,1.49,1373498603,84.76,21.32,4.68,10533,Yes,Yes,No,3.59,2024-02-16 01:50:32
1135,458,58,5,Data_Upload,Mid-End,Slow,3.57,9774822257,53.86,5.93,3.79,22775,Yes,Yes,No,10.44,2024-04-06 13:59:11
1136,567,31,9,Video_Stream,Mid-End,Static,0.84,4524509399,25.72,38.88,4.64,16224,Yes,Yes,No,12.41,2024-06-28 15:13:25
1137,39,346,8,AR_VR_App,Mid-End,Static,4.33,4214953131,16.99,40.8,4.64,13443,Yes,Yes,Yes,6.33,2024-03-26 05:48:52
1138,970,100,7,Control_Command,Mid-End,Static,2.73,9620928292,72.96,23.51,3.88,13478,Yes,Yes,No,2.75,2024-04-15 21:01:58
1139,1874,128,6,Data_Upload,Mid-End,Slow,2.66,8899623653,87.86,49.31,3.85,15623,Yes,Yes,Yes,11.46,2024-04-12 06:54:41
1140,262,315,4,AR_VR_App,Mid-End,Slow,3.17,5240174470,82.67,35.55,4.04,23644,Yes,Yes,No,9.14,2024-03-03 18:08:28
1141,184,367,10,Data_Upload,Mid-End,Static,4.21,7154827039,69.01,38.47,2.89,10588,Yes,Yes,No,14.57,2024-06-02 16:59:46
1142,520,228,10,Control_Command,High-End,Static,2.07,2067450150,22.72,13.65,4.35,18687,Yes,Yes,No,4.7,2024-05-29 11:14:01
1143,980,116,7,Video_Stream,Low-End,Slow,3.55,8793584077,18.46,42.68,4.73,28708,Yes,Yes,Yes,11.98,2024-05-29 00:50:37
1144,823,459,7,Data_Upload,Mid-End,Static,3.05,1095767369,41.05,47.53,3.9,17317,Yes,Yes,Yes,18.24,2024-02-15 14:19:03
1145,873,12,1,Control_Command,Mid-End,Slow,1.7,564656190,86.94,15.63,4.34,17885,Yes,Yes,No,18.7,2024-05-31 16:38:50
1146,1552,301,9,AR_VR_App,Mid-End,Slow,4.45,6642021442,96.56,35.89,3.81,15991,Yes,Yes,No,17.89,2024-03-24 07:49:59
1147,1912,322,4,Control_Command,Low-End,Static,4.09,7515724979,31.72,38.61,3.9,8558,Yes,Yes,No,16.53,2024-06-20 12:50:54
1148,386,360,7,Video_Stream,Mid-End,Static,3.46,2289327149,78.59,18.73,3.94,31419,Yes,Yes,No,18.92,2024-02-04 01:50:24
1149,576,196,9,Control_Command,High-End,Static,4.33,1071969507,61.65,26.38,3.14,12171,Yes,Yes,No,19.45,2024-04-04 18:01:06
1150,253,416,2,AR_VR_App,Mid-End,Slow,4.4,4469381786,12.86,9.39,4.41,25191,Yes,Yes,No,7.48,2024-06-23 23:49:15
1151,1035,425,8,AR_VR_App,Mid-End,Fast,3.69,6864189461,58.86,12.79,3.54,5319,Yes,Yes,No,11.04,2024-07-13 17:08:00
1152,600,354,4,Data_Upload,Low-End,Static,4.27,5307281621,82.53,7.77,2.65,31599,Yes,Yes,No,14.92,2024-04-05 19:32:25
1153,211,183,4,AR_VR_App,Mid-End,Static,3.64,994757282,34.85,30.21,3.71,19002,Yes,Yes,No,11.39,2024-01-25 03:54:49
1154,1540,325,3,Health_Monitor,High-End,Slow,3.56,4933475554,90.76,33.14,2.81,10606,Yes,Yes,No,18.38,2024-05-12 04:52:35
1155,1667,5,10,AR_VR_App,Mid-End,Fast,3.28,914306418,31.26,46.23,4.5,15634,Yes,Yes,Yes,19.56,2024-03-30 13:19:03
1156,1807,319,4,Video_Stream,Mid-End,Static,3.89,8826467952,16.88,29.4,2.93,19778,Yes,Yes,No,11.18,2024-05-05 13:19:24
1157,360,260,9,AR_VR_App,Mid-End,Static,1.21,7290769322,24.39,16.73,4.76,29095,Yes,Yes,No,8.29,2024-02-03 14:35:05
1158,68,371,1,Data_Upload,Mid-End,Static,4.46,6806697079,85.33,7.68,4.72,6422,Yes,Yes,No,9.62,2024-02-05 20:45:47
1159,427,297,9,AR_VR_App,Low-End,Static,4.42,7130679430,47.56,44.82,4.72,25743,Yes,Yes,Yes,14.38,2024-06-14 07:05:13
1160,1873,140,10,Control_Command,Low-End,Slow,0.63,4276789381,81.73,26.55,3.29,21233,Yes,Yes,No,15.21,2024-04-24 20:08:32
1161,9,483,9,Control_Command,Low-End,Static,4.22,4688166956,57.81,38.18,3.29,9965,Yes,Yes,No,9.12,2024-04-05 02:40:37
1162,537,421,1,Control_Command,Low-End,Slow,1.08,9746058150,53.25,5.66,3.41,11931,Yes,Yes,No,17.31,2024-04-30 18:21:33
1163,1601,354,9,Health_Monitor,Low-End,Static,2.01,6290103911,82.62,26.97,4.7,5937,Yes,Yes,No,4.71,2024-05-17 20:01:10
1164,1640,55,6,Data_Upload,Mid-End,Fast,3.85,2982406220,48.11,19.66,3.45,27947,Yes,Yes,No,2.92,2024-04-03 22:41:29
1165,1090,301,8,Control_Command,Low-End,Static,1.22,6912843216,82.18,6.36,3.92,6615,Yes,Yes,No,19.65,2024-07-15 22:14:50
1166,695,156,8,Control_Command,High-End,Static,4.18,5260463895,19.06,39.91,4.93,28274,Yes,Yes,No,18.61,2024-02-22 04:41:04
1167,1197,315,8,Control_Command,Mid-End,Slow,4.24,7863391970,67.27,28.08,4.25,5360,Yes,Yes,No,7.85,2024-02-16 14:20:29
1168,801,391,8,Data_Upload,Mid-End,Static,2.78,331336027,73.23,19.99,4.49,22733,Yes,Yes,No,19.23,2024-04-27 12:20:44
1169,22,188,1,Control_Command,Low-End,Static,0.53,8989177248,90.92,41.26,3.65,27409,Yes,Yes,Yes,7.98,2024-06-13 13:18:40
1170,1066,256,1,Health_Monitor,Low-End,Static,1.79,1992026484,30.19,25.11,4.39,17131,Yes,Yes,No,10.76,2024-02-28 07:14:50
1171,1228,181,7,Control_Command,High-End,Slow,3.28,5479680820,64.38,5.16,4.5,17723,Yes,Yes,No,11.75,2024-06-25 18:32:11
1172,155,168,9,Video_Stream,Mid-End,Static,4.92,7596661036,48.99,47.5,4.21,23719,Yes,Yes,Yes,13.68,2024-05-04 18:12:26
1173,1547,121,10,Health_Monitor,Low-End,Static,3.34,2823825637,44.45,16.51,5.0,18830,Yes,Yes,No,11.7,2024-02-02 01:38:58
1174,810,381,8,Video_Stream,Mid-End,Static,1.67,7712978994,19.6,42.38,2.7,25013,Yes,Yes,Yes,18.45,2024-02-01 04:59:21
1175,1486,308,5,Control_Command,Low-End,Slow,3.35,1494485481,22.08,41.74,4.58,9410,Yes,Yes,Yes,12.3,2024-07-23 12:07:32
1176,78,11,8,Control_Command,Mid-End,Static,2.93,8098531508,85.33,12.31,3.04,21054,Yes,Yes,No,3.03,2024-05-23 18:54:29
1177,104,492,9,Data_Upload,High-End,Slow,4.01,1559841418,77.48,26.33,4.07,7546,Yes,Yes,No,5.59,2024-05-18 05:25:21
1178,278,352,7,Video_Stream,Mid-End,Slow,0.98,8260229136,44.41,6.81,4.54,9142,Yes,Yes,No,19.27,2024-06-26 18:46:08
1179,1673,178,10,Video_Stream,High-End,Static,3.92,609694481,84.56,20.95,4.12,15015,Yes,Yes,No,3.28,2024-02-27 11:56:27
1180,719,306,3,AR_VR_App,Mid-End,Fast,2.94,584770445,17.27,37.89,3.18,26505,Yes,Yes,No,15.73,2024-06-27 11:35:50
1181,763,352,9,AR_VR_App,Low-End,Static,4.83,1979544818,66.23,15.67,3.27,31071,Yes,Yes,No,19.59,2024-03-04 14:18:25
1182,1761,123,5,AR_VR_App,Mid-End,Slow,2.04,4258507817,88.14,10.27,4.0,26376,Yes,Yes,No,3.03,2024-06-28 10:53:41
1183,57,479,8,AR_VR_App,Mid-End,Slow,3.35,4198067423,85.5,27.82,4.76,21576,Yes,Yes,No,17.55,2024-06-22 12:14:49
1184,339,48,1,Video_Stream,High-End,Fast,4.69,1115646897,43.55,29.16,4.14,28094,Yes,Yes,No,14.82,2024-05-31 18:33:29
1185,1823,468,1,Data_Upload,Mid-End,Slow,0.96,1583568457,77.07,35.41,3.56,5996,Yes,Yes,No,3.07,2024-06-07 17:50:05
1186,274,182,3,AR_VR_App,Low-End,Static,4.72,7991261229,48.47,39.16,4.66,27708,Yes,Yes,No,12.98,2024-07-22 20:29:43
1187,908,390,2,Video_Stream,Low-End,Static,3.6,5682295626,85.61,36.31,3.25,13114,Yes,Yes,No,18.53,2024-04-08 17:17:25
1188,1704,306,5,Data_Upload,Mid-End,Static,0.81,7931661588,57.77,43.04,3.82,21229,Yes,Yes,Yes,10.29,2024-01-27 13:24:41
1189,1914,241,9,Data_Upload,Mid-End,Static,1.85,5057527264,78.84,15.03,3.27,4437,Yes,Yes,No,15.51,2024-04-16 03:59:26
1190,1893,256,9,AR_VR_App,High-End,Static,3.69,9662503155,17.07,30.64,4.46,7745,Yes,Yes,No,8.2,2024-05-08 21:15:07
1191,1709,338,8,Video_Stream,Low-End,Static,0.8,6882903658,63.1,21.2,3.0,22334,Yes,Yes,No,9.39,2024-04-10 22:54:38
1192,433,213,5,Health_Monitor,High-End,Fast,3.12,2585476434,59.53,48.3,4.14,6700,Yes,Yes,Yes,14.55,2024-01-29 21:43:58
1193,1921,387,3,Video_Stream,Mid-End,Static,2.06,988641175,64.9,24.81,4.15,7801,Yes,Yes,No,3.04,2024-05-23 09:40:03
1194,610,297,6,Data_Upload,Mid-End,Static,3.29,7107859733,72.61,48.19,4.83,12064,Yes,Yes,Yes,15.32,2024-07-08 21:03:41
1195,391,220,8,Control_Command,Mid-End,Static,0.71,5392193345,92.63,39.61,3.6,7498,Yes,Yes,No,7.1,2024-06-18 08:17:04
1196,1922,28,6,AR_VR_App,Mid-End,Static,4.42,9676749178,80.71,37.33,3.74,12791,Yes,Yes,No,17.35,2024-02-05 21:14:43
1197,1913,416,7,Data_Upload,Low-End,Static,4.88,4547890587,29.77,27.12,4.0,17433,Yes,Yes,No,12.29,2024-05-24 06:12:29
1198,1366,423,7,Health_Monitor,Low-End,Static,4.86,7850408492,84.33,24.95,2.82,27805,Yes,Yes,No,7.55,2024-06-05 22:54:07
1199,1284,216,7,Health_Monitor,Low-End,Static,3.87,2743589089,20.99,28.69,3.64,4623,Yes,Yes,No,14.44,2024-06-29 13:50:32
1200,1709,246,9,Health_Monitor,Mid-End,Slow,1.09,9123219592,66.0,18.21,2.88,26320,Yes,Yes,No,18.5,2024-02-29 08:49:05
1201,174,199,9,Health_Monitor,Mid-End,Static,3.91,2622684265,89.45,45.7,4.47,27096,Yes,Yes,Yes,11.55,2024-01-31 20:50:47
1202,1748,191,1,Video_Stream,Mid-End,Slow,0.61,6337077131,19.1,40.74,3.32,12759,Yes,Yes,Yes,17.59,2024-07-20 04:00:04
1203,1219,403,3,Data_Upload,High-End,Static,0.6,7721635641,86.47,41.06,3.59,24503,Yes,Yes,Yes,18.88,2024-03-11 00:41:22
1204,1801,129,5,Health_Monitor,Mid-End,Slow,1.96,998012564,81.88,24.49,3.21,20100,Yes,Yes,No,9.07,2024-05-14 11:25:16
1205,978,161,4,Data_Upload,Mid-End,Static,2.7,2046293378,55.34,8.2,3.14,16540,Yes,Yes,No,17.01,2024-05-09 05:30:48
1206,1465,33,1,Data_Upload,Mid-End,Slow,3.97,771063384,37.8,35.74,4.97,27430,Yes,Yes,No,16.11,2024-05-07 07:25:24
1207,272,11,1,Control_Command,High-End,Slow,3.57,8507515455,46.49,21.85,4.58,31871,Yes,Yes,No,12.24,2024-05-07 18:16:14
1208,1331,444,4,Video_Stream,Mid-End,Slow,2.51,3444654919,97.18,44.17,3.62,28395,Yes,Yes,Yes,3.46,2024-06-27 17:10:14
1209,308,215,5,Control_Command,Low-End,Static,1.73,3264198728,28.15,40.12,4.57,30319,Yes,Yes,Yes,16.56,2024-02-07 05:01:38
1210,1673,242,4,AR_VR_App,Mid-End,Static,4.99,1918216167,62.16,11.54,4.19,17295,Yes,Yes,No,3.42,2024-06-03 07:32:56
1211,595,493,2,AR_VR_App,Mid-End,Slow,2.42,4065467782,17.49,32.08,3.52,8319,Yes,Yes,No,19.43,2024-06-14 11:50:04
1212,1926,284,5,AR_VR_App,Low-End,Fast,2.53,9003110766,29.61,36.15,2.57,6869,Yes,Yes,No,10.49,2024-07-10 17:25:01
1213,556,246,10,Control_Command,Low-End,Slow,1.24,9614352135,78.7,30.57,4.78,7720,Yes,Yes,No,2.97,2024-06-05 13:43:11
1214,207,190,3,Data_Upload,High-End,Fast,4.08,1491689499,37.23,28.13,3.07,20779,Yes,Yes,No,6.53,2024-04-12 06:18:19
1215,1141,303,7,AR_VR_App,Mid-End,Static,3.62,7996447317,98.72,15.25,4.31,27428,Yes,Yes,No,6.52,2024-05-19 19:24:38
1216,1926,401,4,AR_VR_App,Mid-End,Static,1.49,6902078217,55.07,15.62,4.54,32008,Yes,Yes,No,17.61,2024-04-19 19:53:21
1217,5,330,2,Control_Command,Low-End,Static,0.87,6125991537,56.49,39.56,3.97,14881,Yes,Yes,No,3.79,2024-04-22 23:25:19
1218,1757,72,8,Data_Upload,Low-End,Slow,3.56,4165196934,13.27,5.84,4.14,26560,Yes,Yes,No,5.52,2024-07-18 09:37:30
1219,1966,245,10,AR_VR_App,High-End,Static,3.45,9748735501,96.09,40.05,2.67,27985,Yes,Yes,Yes,8.92,2024-06-27 17:37:42
1220,1819,393,2,Video_Stream,Mid-End,Slow,1.73,2728733091,25.68,28.71,3.9,14610,Yes,Yes,No,5.6,2024-03-12 08:58:31
1221,499,83,7,AR_VR_App,Mid-End,Slow,4.78,1718751759,58.45,47.13,3.24,30257,Yes,Yes,Yes,5.86,2024-04-03 20:19:09
1222,1650,114,8,Control_Command,Low-End,Slow,1.18,2018129395,45.61,49.88,3.92,18768,Yes,Yes,Yes,6.23,2024-04-08 08:11:13
1223,1786,264,10,Control_Command,Low-End,Slow,2.45,1288503333,47.4,34.86,4.01,31142,Yes,Yes,No,4.99,2024-04-08 10:31:20
1224,1325,443,3,Video_Stream,Low-End,Static,4.75,4843132593,67.9,23.55,2.68,10324,Yes,Yes,No,13.32,2024-07-21 07:32:48
1225,1449,69,6,Data_Upload,Low-End,Static,2.39,4717770854,69.59,26.38,3.59,27151,Yes,Yes,No,3.74,2024-07-17 17:48:14
1226,1114,334,4,Video_Stream,Mid-End,Static,3.37,7035330167,23.89,14.19,4.62,18849,Yes,Yes,No,8.74,2024-04-13 17:28:08
1227,1052,301,2,AR_VR_App,Low-End,Fast,2.29,5183365434,54.96,9.47,2.8,12590,Yes,Yes,No,14.26,2024-04-21 20:24:24
1228,950,161,8,Control_Command,Mid-End,Slow,1.73,1923831979,81.14,31.04,4.37,6995,Yes,Yes,No,7.93,2024-04-02 10:28:41
1229,1568,107,2,Data_Upload,Mid-End,Static,4.93,6622130133,49.9,41.25,3.88,22821,Yes,Yes,Yes,8.52,2024-02-23 20:52:46
1230,1241,492,9,AR_VR_App,Mid-End,Static,2.34,6273514020,24.92,16.78,4.04,7746,Yes,Yes,No,15.94,2024-07-14 19:46:37
1231,1845,294,9,Video_Stream,Mid-End,Static,4.52,3635168578,38.19,23.88,2.55,10057,Yes,Yes,No,16.25,2024-04-29 14:21:52
1232,71,447,8,AR_VR_App,Low-End,Slow,1.53,2845105750,29.11,29.96,4.66,18847,Yes,Yes,No,15.46,2024-04-20 05:19:58
1233,1788,140,10,Video_Stream,Mid-End,Fast,1.46,3625233782,21.32,45.86,4.76,30152,Yes,Yes,Yes,8.33,2024-04-06 01:31:53
1234,30,323,3,Health_Monitor,Low-End,Slow,0.64,9501361592,43.98,11.24,4.06,28685,Yes,Yes,No,11.79,2024-04-05 02:52:38
1235,1280,360,8,Health_Monitor,Low-End,Slow,3.43,5496714117,58.68,15.66,4.97,25890,Yes,Yes,No,17.79,2024-04-20 16:06:23
1236,821,413,5,Control_Command,Mid-End,Fast,2.16,329050901,16.55,46.33,3.25,31385,Yes,Yes,Yes,9.97,2024-07-08 09:20:12
1237,671,150,10,Data_Upload,High-End,Static,4.39,4246361932,64.34,6.78,3.02,32065,Yes,Yes,No,7.28,2024-05-24 07:47:27
1238,1420,418,5,Control_Command,Low-End,Slow,2.63,8317065287,99.37,34.53,2.87,25984,Yes,Yes,No,3.0,2024-03-14 19:36:32
1239,1545,326,2,AR_VR_App,Mid-End,Fast,4.86,8558821354,96.77,33.78,2.95,32625,Yes,Yes,No,12.49,2024-04-01 20:27:44
1240,994,99,3,Health_Monitor,Mid-End,Slow,1.33,854302700,84.63,22.25,2.59,20865,Yes,Yes,No,6.26,2024-07-19 09:53:21
1241,323,167,8,Control_Command,Mid-End,Static,4.41,2928762116,33.97,26.07,4.26,17461,Yes,Yes,No,15.26,2024-02-27 03:58:36
1242,1957,144,1,Video_Stream,High-End,Static,3.99,4110717832,12.02,43.47,4.43,26755,Yes,Yes,Yes,3.97,2024-06-28 21:21:57
1243,370,159,4,Data_Upload,Mid-End,Slow,3.97,8234463038,85.02,12.42,2.53,15197,Yes,Yes,No,9.74,2024-03-24 08:49:39
1244,1180,433,6,Health_Monitor,High-End,Static,4.3,9827100934,15.01,15.42,3.08,20291,Yes,Yes,No,8.35,2024-02-04 19:20:04
1245,1006,300,9,Data_Upload,Mid-End,Static,3.92,7063602361,28.51,28.06,3.05,20068,Yes,Yes,No,7.39,2024-03-20 23:13:36
1246,214,463,8,Data_Upload,Mid-End,Static,3.32,2211889417,59.0,23.44,4.08,17352,Yes,Yes,No,19.8,2024-03-22 01:54:40
1247,666,302,10,Health_Monitor,Mid-End,Slow,1.09,648650989,26.05,30.85,4.47,4542,Yes,Yes,No,4.23,2024-02-17 15:02:52
1248,1107,385,5,Video_Stream,Mid-End,Fast,0.65,4416323961,85.04,46.44,4.3,18006,Yes,Yes,Yes,2.54,2024-04-16 17:11:58
1249,405,378,7,Video_Stream,Mid-End,Static,4.64,2461838557,79.94,46.27,4.41,26267,Yes,Yes,Yes,2.76,2024-02-17 05:00:18
1250,613,44,8,Video_Stream,Low-End,Static,3.27,1521474853,78.02,15.35,4.28,12255,Yes,Yes,No,4.31,2024-01-24 20:02:15
1251,1034,340,9,Data_Upload,Low-End,Static,4.08,5120697166,83.45,18.6,4.4,12052,Yes,Yes,No,17.35,2024-03-03 14:48:54
1252,1872,87,3,Video_Stream,Mid-End,Static,2.67,2104527045,29.77,12.29,3.9,22240,Yes,Yes,No,5.36,2024-07-08 17:19:10
1253,1304,84,8,AR_VR_App,Mid-End,Static,1.03,4825694400,75.6,46.75,3.86,27814,Yes,Yes,Yes,12.53,2024-05-24 23:41:07
1254,281,96,3,AR_VR_App,Low-End,Static,1.06,5838542263,41.98,22.9,4.56,15789,Yes,Yes,No,13.64,2024-03-14 10:27:29
1255,1716,302,1,Video_Stream,Low-End,Fast,3.59,1203830823,70.02,25.24,4.03,10168,Yes,Yes,No,15.92,2024-04-14 10:23:29
1256,1114,240,4,Video_Stream,Low-End,Slow,2.44,3751628376,20.98,41.12,2.86,6746,Yes,Yes,Yes,4.79,2024-07-06 02:09:14
1257,129,217,7,Health_Monitor,Low-End,Static,1.4,5922015016,73.5,28.08,4.66,15339,Yes,Yes,No,4.75,2024-02-14 23:44:58
1258,309,239,9,Health_Monitor,Mid-End,Static,2.71,855097714,97.49,10.39,3.7,21778,Yes,Yes,No,7.94,2024-06-17 08:27:17
1259,1988,72,10,Control_Command,Low-End,Static,0.79,4685104728,13.92,24.7,3.13,16516,Yes,Yes,No,4.3,2024-06-07 01:21:28
1260,485,181,7,Data_Upload,Low-End,Static,3.12,241336714,18.44,33.37,3.44,23239,Yes,Yes,No,7.35,2024-03-07 15:12:53
1261,1131,417,10,Data_Upload,Low-End,Slow,1.71,7054183981,21.13,37.36,3.92,6070,Yes,Yes,No,12.9,2024-03-08 01:19:23
1262,974,173,5,Health_Monitor,High-End,Slow,4.09,6669531324,48.75,34.04,3.48,30303,Yes,Yes,No,10.0,2024-05-03 18:02:10
1263,1023,192,1,AR_VR_App,Low-End,Static,1.9,3373989953,36.17,10.36,3.98,26540,Yes,Yes,No,7.7,2024-03-10 10:32:21
1264,1529,94,1,Control_Command,Mid-End,Static,2.55,8414941190,82.62,18.7,3.9,16228,Yes,Yes,No,8.38,2024-02-01 00:20:14
1265,792,387,9,Health_Monitor,Mid-End,Fast,0.55,7289873999,52.64,38.01,3.88,13166,Yes,Yes,No,6.59,2024-04-08 20:40:43
1266,283,152,4,Control_Command,Low-End,Static,0.83,672933992,53.61,44.61,3.91,25693,Yes,Yes,Yes,10.34,2024-06-25 03:54:24
1267,1131,460,3,Data_Upload,High-End,Static,2.27,4748415360,74.53,7.12,3.3,32761,Yes,Yes,No,10.53,2024-04-17 10:21:38
1268,155,159,5,Data_Upload,Low-End,Static,2.66,139126898,42.58,6.9,4.65,27816,Yes,Yes,No,18.18,2024-05-18 23:20:58
1269,1880,327,7,Data_Upload,High-End,Slow,3.2,2894241218,41.79,33.95,3.83,11945,Yes,Yes,No,14.19,2024-06-10 19:05:23
1270,1256,296,7,AR_VR_App,Mid-End,Static,1.81,1013216320,78.12,29.66,2.61,12703,Yes,Yes,No,13.54,2024-05-28 04:53:09
1271,1473,465,5,Health_Monitor,Mid-End,Fast,3.63,133529501,80.2,11.99,3.24,27565,Yes,Yes,No,7.08,2024-05-31 17:02:24
1272,1404,434,8,Control_Command,Mid-End,Fast,4.37,6849922997,11.3,29.67,4.29,10627,Yes,Yes,No,8.47,2024-04-01 07:01:12
1273,807,330,5,Health_Monitor,High-End,Slow,4.01,8504081155,22.94,48.85,4.16,29701,Yes,Yes,Yes,17.77,2024-02-20 12:02:23
1274,1357,15,10,Data_Upload,Mid-End,Static,0.68,9976134326,29.18,33.39,2.99,9922,Yes,Yes,No,12.41,2024-03-04 16:42:30
1275,596,119,4,Data_Upload,High-End,Static,2.66,1139762894,41.64,25.21,5.0,31873,Yes,Yes,No,5.65,2024-07-06 09:22:00
1276,870,21,6,Health_Monitor,Low-End,Fast,0.97,6270914018,36.23,42.24,4.06,29332,Yes,Yes,Yes,15.21,2024-03-10 00:30:46
1277,1956,21,3,Video_Stream,High-End,Static,1.59,824147209,70.17,14.58,3.32,14941,Yes,Yes,No,3.62,2024-04-18 10:44:29
1278,1100,316,4,Video_Stream,Low-End,Static,4.94,7793565230,84.53,23.64,3.48,26202,Yes,Yes,No,18.14,2024-06-16 07:01:58
1279,1989,221,8,Health_Monitor,Mid-End,Static,1.14,7179708464,27.29,28.75,4.8,18678,Yes,Yes,No,12.06,2024-03-07 22:14:39
1280,261,106,10,Data_Upload,Low-End,Static,2.74,5114898201,60.67,27.7,3.58,13709,Yes,Yes,No,19.66,2024-07-04 14:45:48
1281,1361,233,10,Control_Command,High-End,Slow,3.28,7993108104,43.1,46.44,3.1,12280,Yes,Yes,Yes,7.34,2024-05-11 18:45:38
1282,1254,65,3,Video_Stream,Mid-End,Slow,3.66,4226347358,55.52,18.17,3.36,13084,Yes,Yes,No,4.43,2024-04-15 03:09:28
1283,1930,149,10,Health_Monitor,Low-End,Fast,3.02,9025078917,65.87,7.54,3.83,22671,Yes,Yes,No,11.07,2024-05-04 03:28:22
1284,784,183,3,AR_VR_App,Mid-End,Static,0.54,3602770246,90.42,46.24,2.89,28140,Yes,Yes,Yes,12.08,2024-03-10 05:07:10
1285,984,69,6,Health_Monitor,Mid-End,Slow,1.97,9617584257,27.31,14.77,2.63,22896,Yes,Yes,No,15.68,2024-05-24 11:46:55
1286,221,207,8,Data_Upload,Low-End,Static,2.83,8628708571,17.83,22.06,3.51,9067,Yes,Yes,No,13.02,2024-03-26 00:14:55
1287,693,110,10,Health_Monitor,Mid-End,Static,0.9,9608609771,66.45,28.89,4.74,26747,Yes,Yes,No,9.54,2024-03-29 13:57:55
1288,398,282,2,Video_Stream,Low-End,Slow,2.08,7745761285,45.47,48.91,4.82,16945,Yes,Yes,Yes,5.76,2024-03-23 16:15:54
1289,714,331,1,Video_Stream,High-End,Static,0.65,1555921309,24.66,29.09,4.58,10736,Yes,Yes,No,18.04,2024-03-31 12:00:04
1290,797,55,10,Health_Monitor,High-End,Slow,0.85,6025678701,20.54,25.15,2.93,16771,Yes,Yes,No,7.97,2024-04-09 21:12:24
1291,412,113,1,Control_Command,Low-End,Static,2.29,7078174460,60.3,31.26,2.62,16824,Yes,Yes,No,6.24,2024-06-17 00:24:58
